notes,event_type
An anti-government protester was slightly injured in a gun attack at Wat Camp Son in Khao Kho district in Phetchabun. Another civilian was also injured. Three armed men were seen firing at a vehicle before fleeing. No other details were reported.,Violence against civilians
"On 3 April 2014, about 2,000 People's Democratic Reform Committee (PDRC) demonstrators demonstrated in front of the Foreign Ministry in Ratchathewi district (Ratchathewi, Bangkok) in order ask it not to invite the United Nations secretary-general to interfere in the internal affairs of Thailand.",Protests
A village head and his two female assistants were killed when a group of gunmen opened fire on their vehicle in Yala's Bannang Sata district in tambon Tanohputeh. They were on their way home in a pickup truck when the attack took place. The assailants were believed to be separatist militants.,Violence against civilians
A security guard was shot dead and four other anti-government demonstrators were wounded when gunmen ambushed their convoy as it left the Chaeng Wattana demonstration site in Bangkok. The convoy of supporters was made of members of the Network for Students and People for Reform of Thailand (NSPRT) and the People's Democratic Reform Committee (PDRC). They were attacked by gunmen as they passed by a temple in Mueang district of Nonthaburi.,Protests
"A bombing took place in Samakkhi, Rueso, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 2 injuries and 0 fatalities.",Other
"A bombing took place in Na Pradu, Khok Pho, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
A former Democrat Party MP for Chanthaburi was shot and wounded in Khao Khitchakut district of Chanthaburi. The incident occurred as he was leaving his house and was shot at by an unknown assailant. No other details were reported.,Violence against civilians
Two policemen were killed and three others wounded by a bomb while on the way to provide security for a polling unit in Rueso district of Narathiwat province. The bomb was planted on a road in tambon Riang. No other details were reported.,Other
"On 29 March 2014, the People's Radio for Democracy Group (PRDG) demolished the protest camp of opposing protestors outside the National Anti-Corruption Commission (NACC) office in Nonthaburi city (MN, Nonthaburi), triggering a skirmish between rival demonstrators. PRDG demonstrators were blocking the NACC office to demonstrate against its decision to charge caretaker Prime Minister Yingluck Shinawatra over her role in the corruption-plagued rice-pledging scheme. The anti-government demonstrators used tractors to knock down the makeshift stage and barriers, causing the pro-government demonstrators to hurl objects before they abandoned the site.",Riots
A bomb blast killed two men in Bangkok's Min Buri district on March 29. Police believe the blast was linked to political unrest. No other details were reported.,Other
"On 29 March 2014, anti-government demonstrators, led by the People's Democratic Reform Committee (PDRC) marched from Lumphini Park in Dusit district (Dusit, Bangkok), the PDRC's main protest site, to the Royal Plaza. The demonstrators are calling for a national reform before the election.",Protests
"On 29 March 2014, People's Democratic Reform Committee (PDRC) demonstrators in staged a rally in Phatthalung city (MP, Phatthalung), parallel with their counterparts in Bangkok in order to push for reform before a new election. Some 2000 demonstrators gathered in front of the city hall.",Protests
"On 29 March 2014, People's Democratic Reform Committee (PDRC) demonstrators in staged a rally in Mueang Yala district (MY, Yala), parallel with their counterparts in Bangkok in order to push for reform before a new election. The demonstrators gathered in front of the White Elephant Ceremony Hall.",Protests
Demonstrators from the Network of Students and People for the Reform of Thailand (NSPRT) entered the Government House and called on police and soldiers not to obstruct them in a demonstration against the Thaksin regime.,Protests
"On 27 March 2014, a red-shirt community radio station in tambon Mae Po of Mae Sot district (MS,Tak) was attacked by gunmen. The station was established by a well-known red-shirt leader and he was believed to be the target. Three or four men attacked the station and security guards returned fire. There was a brief gunfight before the men retreated. There were no injuries.",Other
"On 26 March 2014, the People's Radio Democracy Group (PRDG) pulled down a military checkpoint near the National Anti-Corruption Commission (NACC) office in Nonthaburi city (MN, Nonthaburi). The group pulled apart the checkpoint after the NACC barred all demonstrators from entering the building. The demonstrators wanted to request that the NACC launch an ethical probe into the National Human Rights Commission (NHRC), who was enquiring into a red-shirt rally in 2010.",Riots
"Non-violent activity: Three M79 grenades landed in Chaeng Wattana Soi 14, at the back of anti-government demonstration rally site, and exploded. The target was a house where the PDRC demonstration leader was staying. No other details were reported.",Other
"On 25 March 2014, People's Democratic Reform Committee (PDRC) demonstrators marched through Bangkok for a second day to invite city-dwellers to join a major rally planned for the weekend. The rally will call for national reform before the next election. The march went from Lumphini Park in Pathum Wan district (PW, Bangkok) through various major roads in Bangkok before coming back to Lumphini.",Protests
"Property destruction: The house of the People's Democratic Reform Committee (PDRC) secretary-general on Phutthamonthon Sai 2 road in Thawi Watthana district, Bangkok was attacked on March 25 with an M79 grenade from a grenade launcher. There were no injuries. It was the third attack of the secretary-general's home.",Other
"A bombing took place in Chang Phueak, Chanae, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 6 injuries and 0 fatalities.",Other
"On 24 March 2014, People's Democratic Reform Committee (PDRC) demonstrators left Lumphini Park in Phathum Wan district (PW, Bangkok) for a march to invite Bangkok people to join the PDRC's major rally. They planned to march along Rama IV Road to other destinations in the city before returning to Lumphini.",Protests
Property destruction: Three M79 grenades were fired at the head offices of the National Anti-Corruption Commission (NACC) and the Government Lottery Office (GLO) on Sanambin Nam road in Nonthaburi province. Police said the Radio Media for Democracy Group was gathering there when the incident occurred. No one was injured.,Other
"An arrest took place in Kolam, Yarang, Pattani. The incident is thought to be related to insurgent activities. No weapons were used. There were 0 injuries and 0 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"A shooting took place in Lahan, Sai Buri, Pattani. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 0 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"Sabotage took place in Khuan, Panare, Pattani. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 0 injuries and 0 fatalities.",Other
"Sabotage took place in La-nga, Mayo, Pattani. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 0 injuries and 0 fatalities.",Other
"A clash took place in Sateng Nok, Mueang , Yala, Yala. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 0 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"On 22 March 2014, the United Front for Democracy against Dictatorship (UDD) staged a rally in Phattaya city (BL, CB) in a bid to mobilize supporters from Thailand's eastern provinces. The UDD demonstrators gathered in a gesture of support in the province.",Protests
An assistant village chief was killed and a villager seriously wounded in a gun attack in Pattani's Nong Chik district. The incident occurred when the assistant chief was returning home to tambon Dato and was fired at by a gunman on the side of the road. A stray bullet hit a villager. No other details were reported.,Violence against civilians
"On 21 March 2014, two M79 grenades were fired near a rally site in tambon Bang Sai (MCB, CB). The grenades were launched from a pick up truck at the site where more than 2,000 people participated, many whom are members of the People's Democratic Reform Committee (PDRC). The grenades landed in front of the Bang Sai Municipality Office and the Bang Sai Education Development Center.",Other
A new network of farmers from the western region mobilized their supporters to travel to Bangkok in a bid to pressure for the resignation of the current administration. The farmers gathered in front of the Government Complex in order to demand for the ouster of the government as they have consistently failed to secure funds to pay them back for their rice.,Protests
"A shooting took place in Kosit, Tak Bai, Narathiwat. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 0 injuries and 1 fatalities.",Violence against civilians
"The demolition of an explosive device took place in Paku, Thung Yang Daeng, Pattani. The incident is thought to be related to insurgent activities. It is unknown what type of weapons were used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Chanae, Saba Yoi, Songkhla. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Khao Tum, Yarang, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
One policeman was killed and another seriously wounded by a bomb explosion while on patrol providing security for teachers in Pattani's Mayo district. The incident occurred while six policemen were travelling in tambon Kochan and a bomb was remotely detonated as they passed a bridge where it was hidden.,Other
"A bombing took place in Baraho, Mueang , Pattani, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 1 injuries and 0 fatalities.",Other
"A shooting took place in Yaha, Yaha, Yala. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 0 injuries and 1 fatalities.",Violence against civilians
"A shooting took place in Batong, Rueso, Narathiwat. The incident is thought to be related to insurgent activities. At least one shotgun was used. There were 0 injuries and 0 fatalities.",Other
Anti-government demonstrators of the Network of Students and People for Reform of Thailand (NSPRT) sealed off the Office of the Council of State to bar officials from working to serve the caretaker government.,Protests
A female teacher was shot dead in a drive-by shooting and her body set on fire on a road in Pattani's Mayo district. The woman was riding a motorcycle to work at a school in tambon Luboyrai when she was attacked by an assailant on a motorcycle. Police believe the attack was the work of southern militants.,Violence against civilians
"Farmers rallying at the Finance Ministry were dissatisfied with their discussions with officials a day ago, and in frustration dumped rice obstructing five of the ministry's six entrances. They said they plan to continue to their protest until they receive their money.",Protests
"A bombing took place in Ban Nok, Panare, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 2 injuries and 0 fatalities.",Other
"On 12 March 2014, angry rice farmers rallied at the Commerce Ministry in Nonthaburi district (MN, Nonthaburi), burnt effigies of key ministers and poured rice on the pavement to curse the caretaker government for its inability to address and fix the country's rice purchase problems. The farmers from several provinces joined the mass rally at the ministry along with demonstrators of the People's Democratic Reform Committee (PDRC). They later cut the electricity to the ministry and forced the workers to leave the office.",Protests
"A clash took place in Yarang, Yarang, Pattani. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 0 injuries and 0 fatalities.",Other
"On 12 March 2014, three illegal Cambodian loggers were killed by Thai security forces after illegally crossing the border into Thailand from Choam Ksan district in Preah Vihear province in Cambodia to log timber. Location coded in Thailand: Dom Pradit, Nam Yuen, Ubon Ratchathani province, Thailand.",Violence against civilians
"On 11 March 2014, a guard was injured in an explosion in the Lumphini Park in Pathum Wan District (PW, Bangkok) as he was walking near a tent of security guards of the People's Democratic Reform Committee (PDRC) on March 11. No other details were reported.",Other
"A bombing took place in Paluka Samo, Bacho, Narathiwat. The incident is thought to be related to insurgent activities. At least one conventional explosive was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Pitu Mudi, Yarang, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 1 injuries and 0 fatalities.",Other
"A bombing took place in Tabing, Sai Buri, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 3 injuries and 0 fatalities.",Other
"On 8 March 2014, UDD red shirt supporters in Chiang Mai province coded at Chiang Mai city (MCM, CM) gathered for a mass rally in a show of support for the embattled caretaker government of Prime Minister Yingluck Shinawatra. The northern Red Shirts said they will rise up if Yingluck is toppled and an unelected prime minister is put in her place. The rally also acted as a platform to dispel the allegations that they want to split the country to form an independent state.",Protests
"A bombing took place in Paluru, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 2 injuries and 0 fatalities.",Other
"Two civilians were wounded by gunshots fired from Lumphini Park in Bangkok, which is occupied by anti-government demonstrators. The victims said the gunshots came from inside the park but they were unable to identify who shot at them. No other details were reported.",Violence against civilians
"The demolition of an explosive device took place in Phadung Mat, Chanae, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"The demolition of an explosive device took place in Phron, Tak Bai, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A shooting took place in Tase, Mueang , Yala, Yala. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 1 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"On 6 March 2014, anti-government demonstrators urged the police to lay treason charges against UDD red shirts members for allegedly supporting calls for a separate state. The People's Democratic Reform Committee (PDRC) demonstrators gathered outside the Royal Thai Police offices in Pathum Wan district (PW, Bangkok) in order to demand they take legal action against the United Front for Democracy against Dictatorship (UDD red shirts) supporters for backing separatism.",Protests
"A shooting took place in Khok Sato, Rueso, Narathiwat. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 2 injuries and 0 fatalities.",Other
A group of demonstrators under the Network of Students and People for Reform of Thailand (NSPRT) arrived at the headquarters of the Pheu Thai Party on Phetchaburi Road in Bangkok. They put up a cement block barrier to close the entrance and exit to the building and urged the Party to their alleged campaign to separate Thailand.,Protests
"On 5 March 2014, anti-government demonstrators under the People's Democratic Reform Committee (PDRC) gathered at the Revenue Department in Hai Khwang district (HK, Bangkok), hoping to persuade officials to side with them. They arrived in Soi Aree off Rama 6 Road and set up a stage to demand that the director-general negotiate with them. They also asked officials there to stop working for the Thaksin regime.",Protests
"A shooting took place in Khuean Bang Lang, Bannang Sata, Yala. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 0 injuries and 2 fatalities.",Violence against civilians
"On 05 March 2014, twelve Cambodians were shot dead by Thai security forces after illegally crossing the border from Choam Ksan district in Preah Vihear province to log timber. Location coded in Thailand: Dom Pradit, Nam Yuen, Ubon Ratchathani province, Thailand.",Violence against civilians
"Demonstrators were led to rally in front of the Office of the Auditor General (OAG), urging them to follow up on the investigation into the government's controversial rice pledging scheme. The group was also joined by farmers who have been protesting there in recent weeks.",Protests
"A shooting took place in Su-ngai Padi, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Su-ngai Padi, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Su-ngai Padi, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A violent disturbance involving tire burning took place in Toteng, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one incendiary device was used. There were 0 injuries and 0 fatalities.",Other
"A violent disturbance involving the placement of traffic spikes took place in Toteng, Su-ngai Padi, Narathiwat. The incident is thought to be related to insurgent activities. At least one sharp weapon was used. There were 0 injuries and 0 fatalities.",Other
"A soldier in an army patrol providing security for teachers was wounded by an explosion in Mayo district of Pattani province. A patrol had been escorting teachers when they encountered banners by the roadside, written to insult soldiers. As they attempted to remove the banners, a bomb went off, injuring one.",Other
"On 2 March 2014, People's Democratic Reform Committee (PDRC) demonstrators moved from the Pathumwan intersection to join the main rally site at Lumphini Park in Pathum Wan district (PW, Bangkok) in order to integrate with other anti-government campaigns.",Protests
"An imam, or a Muslim religious leader, was killed and his son seriously wounded in a gun attack in Narathiwat's Yi-ngo district. The incident occurred in front of a school in tambon Ta Po Yo as the two victims were followed and shot by two men on a motorcycle.",Violence against civilians
"On 1 March 2014, the red-shirt United Front for Democracy Against Dictatorship (UDD) launched its mass counter-rally against anti-government People's Democratic Reform Committee (PDRC) at Thung Sri Muang in Udon Thani district (MUT, UT), aimed at mobilizing supporters in the Northeast and the North.",Protests
"A clash took place in Wat, Yarang, Pattani. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Kayu Boko, Raman, Yala. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
A farmer was seriously injured when a bomb went off in his plantation in Narathiwat. Police blamed the attack on militants. No other details were reported.,Other
"On 28 February 2014, People's Democratic Reform Committee (PDRC) demonstrators invaded the Public Health Ministry in Nonthaburi district (MN, Nonthaburi) to find out why a banner calling for a corruption-free government was removed from the building. The banner had been erected earlier by the Medical Workers' Network. Demonstrators shouted for an explanation from the officials at the Public Health Ministry.",Protests
A paramilitary ranger providing security for teachers was shot and injured in an ambush in Pattani province's tambon Piyamumang in Yaring district. The attack occurred while eight rangers were on foot patrol and were attacked by gunmen hiding along the roadside. The rangers fired back and the attackers retreated after an exchange of fire. Police blamed separatist militants.,Other
"An assault with no weapons took place in Tro Bon, Sai Buri, Pattani. The incident is thought to be related to insurgent activities. At least one blunt weapon was used. There were 0 injuries and 0 fatalities.",Violence against civilians
Farmers protesting at Thailand's Commerce Ministry have moved their rally to the Office of the Attorney General to urge for updates on corruption case in the government's rice pledging scheme and continue to demand their overdue payments.,Protests
"On 26 February 2014, UDD demonstrators locked the entrance to the office of the National Anti-Corruption Commission (NACC) in Nonthaburi city (MN, Nonthaburi) to prevent commissioners from working. The rally was to oppose the authority of the independent agency who is looking into the caretaker Prime Minister Yingluck Shinawatra over alleged dereliction of duty.",Protests
"On 26 February 2014, People's Democratic Reform Committee (PDRC) demonstrators dressed in black gathered in front of the Royal Thai Police office on Rama 1 Road in Pathum Wan district (PW, Bangkok) in an effort to urge the Royal Thai Police to appoint neutral police officers.",Protests
Two female territorial defense volunteers were critically wounded in a drive-by shooting in Narathiwat's Ban La Mo Nok in Rueso district on Feb 26. The two were travelling on a motorcycle when a gunman on another motorcycle fired at them and then fled. Police blame separatist militants.,Other
A man was killed and his wife left critically wounded in a drive-by shooting in Narathiwat province's tambon Riko in Su-ngai Padi district. The attack occurred as the two were travelling on a motorcycle when a gunman fired at them before fleeing. Police blamed separatist militants.,Violence against civilians
"A bombing took place in Phadung Mat, Chanae, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"Arson took place in Plong Hoi, Kapho, Pattani. The incident is thought to be related to insurgent activities. At least one incendiary device was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Plong Hoi, Kapho, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 6 injuries and 0 fatalities.",Other
The Ra-ngae district chief and five defense volunteers escaped unhurt when a road bomb exploded when they were travelling in an armored pickup truck to the Narathiwat provincial hall. The attack occurred in tambon Phadungmat as the bomb was detonated as they passed. No one was injured in the blast and no other details were reported.,Other
"On 25 February 2014, United Front for Democracy against Dictatorship (UDD) demonstrators occupied Ban Wat intersection in Khong district (Khong, NR) in opposition to the planned gathering by farmers from northeastern provinces. The UDD demonstrators urged the farmers to not create chaos and close roads in their demands to be paid money from the government.",Protests
"On 25 February 2014, two people were slightly injured when the People's Democratic Reform Committee (PDRC) rally stage in Lumphini Park in Pathum Wan District (PW, Bangkok) was attacked for three hours on Feb 25. About 20 grenades were reportedly thrown in the area. There were also gunshots. There were no further details about the attackers.",Protests
Two soldiers were wounded by a bomb explosion while on patrol providing security for teachers in tambon Ko Sathon in Tak Bai district of Narathiwat province. The bomb was planted on the road and was detonated remotely. No other details were reported.,Other
A paramilitary ranger was killed and three others wounded by a motorcycle bomb explosion in Pattani province. The attack occurred in tambon Muang Tia of Mae Lan district as the rangers were patrolling. No other details were reported.,Other
"In Tak Bai district of Narathiwat, a bomb exploded when a group of six soldiers on three motorcycles were returning from protecting teachers to their base in Ban Taliang village in tambon Koh Sathon. Two were seriously injured by the explosion.",Other
"On 24 February 2014, People's Democratic Reform Committee (PDRC) demonstrators moved from their rally sites to different government offices and other targets within Bangkok in a campaign to interfere in the businesses of the Shinawatra family. They gathered in front of the Customs Department in Khlong Toei district (KT, Bangkok), the Ministry of Industry, Science and Technology, Finance, Foreign Affairs, Energy and the PTT head office.",Protests
Demonstrators rallied outside the Voice TV satellite station in Bangkok. The TV station is owned by the son of former prime minister Thaksin Shinawatra and the demonstrators were dissatisfied that the TV station's recent reports.,Protests
A village headman was shot dead in an ambush in Mueang district of Yala province as he was travelling home and assailants opened fire at him. No other details were reported.,Violence against civilians
"On 23 February 2014, two people were killed and 22 people were injured in a M79 grenade attack on the PDRC rally near Big C Super Center on Ratchaprasong Road in Pathum Wan District (PW, Bangkok).",Other
"A bombing took place in Paluka Samo, Bacho, Narathiwat. The incident is thought to be related to insurgent activities. It is unknown what type of weapons were used. There were 0 injuries and 0 fatalities.",Other
"Arson took place in Bannang Sata, Bannang Sata, Yala. The incident is thought to be related to insurgent activities. It is unknown what type of weapons were used. There were 0 injuries and 2 fatalities.",Violence against civilians
"A bombing took place in Kayu Boko, Raman, Yala. The incident is thought to be related to insurgent activities. At least one conventional explosive was used. There were 0 injuries and 0 fatalities.",Other
"In Yala province, an assistant village headman was killed in tambon Kehro of Raman district. The attack occurred at a rubber plantation where a gunman opened fire on the victim. Police were investigating.",Violence against civilians
"On 22 October 2014, gunmen shot at a protest stage in Khao Saming district (KS, Trat). Some 500 people were listening to Pong Sarakham on the People's Democratic Reform Committee (PDRC) stage in Yingcharoen market when gunmen on two pickup trucks drove by, throwing grenades and firing shots. Three were killed and 41 were wounded.",Protests
At least six people were injured in Bangkok after a grenade was thrown at cars driving past an anti-government protest camp. Shrapnel from the blast damaged three vehicles. The grenade was hurled from a bridge close to the Ratchaprasong intersection. No other details were reported.,Other
Three civilians were killed at a rubber latex buying shop on Bannang Dama-Labahoey road in Ban Khlong Tae of Kabang district in Yala. Gunmen approached the civilians and opened fire at them before fleeing. Police blamed separatist militants.,Violence against civilians
"A militant was shot dead in a clash with border patrol police in Raman district of Yala province on Feb 21. The police patrol raided a house in tambon Cha Kuawa after receiving a tip-off that a militant was hiding there. The man in the house fled and fired at the police, who returned fire, killing him.",Other
"An explosion at a protest site, manned by rice farmers, near the Government Complex in Bangkok injured at least six people. Officials believe the blast was caused by a grenade thrown from an overpass. The farmers had been rallying there to demand overdue payment for their rice under government subsidy.",Other
The Ministry of Commerce was completely sealed off for the second day as more farmers poured into Bangkok from several provinces to demand overdue payment for their rice under government subsidy.,Protests
"On 20 February 2014, People's Democratic Reform Committee (PDRC) demonstrators rallied in front of Shinawatra Tower 3 on Vibhavadi Rangsit road in Chatuchak district (Chatuchak, Bangkok) to put pressure on the Shinawatra family's business interests. The demonstrators travelled from the Chaeng Watthana Government Complex rally site.",Protests
"On Feb 20, there was an attack on the home of a senior clerk at Yala Province's Bannang Sata district office, with seven M79 grenades fired, but no one was injured. The assailants fled when police and defense volunteers fired back. Police believe the incident was carried out by a militant sympathizer group.",Other
Demonstrators from the People's Democratic Reform Committee (PDRC) have vowed to attack all Shinawatra family business interests and converged on the Office of the Permanent Secretary for Defense. Hundreds of farmers also joined the protest site in Muang Thong Thani in order to demand the government pay for the pledged rice and support the PDRC's demonstration to oust the Yingluck administration.,Protests
"On 19 February 2014, demonstrators from the People's Democratic Reform Committee (PRDC) moved their rally to the offices of the Centre for Maintaining Peace and Order (CMPO) and the Police Club in Lak Si district (LS, Bangkok) to condemn the government for their severe crackdown on demonstrators on Ratchdamnoen Avenue.",Protests
"Two military rangers were wounded by a bomb explosion while on patrol in Narathiwat's Cho-airong district. The attack occurred at a bridge near Ban Pare Rubo in tambon Marubo Ok, where six men were patrolling to provide security for teachers. No other details were reported.",Other
Two soldiers were critically injured by a roadside bomb explosion in Yala's Bannang Sata district. Six soldiers from Yala Special Force 15 were patrolling on three motorcycles along a rural road in Ban Bacho when the home-made bomb was detonated.,Other
"The demolition of an explosive device took place in Paluka Samo, Bacho, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Prachan, Yarang, Pattani. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 1 injuries and 0 fatalities.",Other
"A clash took place in Bannang Sata, Bannang Sata, Yala. The incident is thought to be related to insurgent activities. At least one conventional explosive was used. There were 0 injuries and 0 fatalities.",Other
"A total of 65 injured people including police, demonstrators and a journalist were wounded after a clash at Phan Fah Bridge in Bangkok. Other sources report that five were killed, including a policeman, in the clash. The police had tried to take back the demonstration site from the anti-government demonstrators under the Dhamma Army. Gunshots and explosions were heard shortly after, although there were no reports about where they originated. Ranks of riot squad officers fired volleys of tear gas. There were also reports of police being injured by grenade attacks and shrapnel from bomb blasts, while police opened fire on demonstrators.",Other
"A roadside bomb in Yi-ngo district of Narathiwat injured three people, one ranger and two press assistants, who were inspecting the scene of a previous bombing on Phetchakasem Highway in tambon Taporyor. Other sources says this second bomb slightly injured four journalists. Police blamed separatist militants for the attack.",Other
"On 18 February 2014, demonstrators led by the People's Democratic Reform Committee (PDRC) gathered at the Government House in Dusit district (Dusit, Bangkok) in an attempt to prevent caretaker Prime Minister Yingluck Shinawatra from entering to her office. The PDRC demonstrators joined the Network of Students and People for the Reform of Thailand (NSPRT) and the People's Democratic Force to Overthrow Thaksinism (PEFOT) at Government House for the second day.",Protests
"A bombing took place in Lahan, Yi Ngo, Narathiwat. The incident is thought to be related to insurgent activities. It is unknown what type of weapons were used. There were 0 injuries and 0 fatalities.",Other
"Two bombings took place in Tapoyo, Yi Ngo, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A shooting took place in Paku, Thung Yang Daeng, Pattani. The incident is thought to be related to insurgent activities. At least one infantry firearm was used. There were 0 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"A bombing took place in Bannang Sata, Bannang Sata, Yala. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 3 injuries and 0 fatalities.",Other
A volunteer army ranger was killed after he was shot by two assailants on a motorcycle while he was riding his motorcycle in Sai Buri district of Pattani Province on Feb 17. No other details were reported.,Other
"A large number of farmers rallied outside the office of the permanent secretary for defense, the caretaker cabinet's temporary workplace, on Chaeng Watthana Road, and demanded caretaker Prime Minister Yingluck Shinawatra meet them for talks on the government's failure to pay them for grain delivered under the rice-pledging scheme.",Protests
"On 17 February 2014, a number of People's Democratic Reform Committee (PDRC) demonstrators entered the Education Ministry premises in Dusit district (Dusit, Bangkok) and asked officials there to stop work and join their protest.",Protests
"A defense volunteer was shot at by unknown gunman in hiding while riding a motorcycle home (assumed unarmed) in Mayo district in Pattani Province on Feb 17, but the bullets missed as he sped away. Police suspected the attack either stemmed from a personal conflict or was part of ongoing unrest.",Violence against civilians
"A clash took place in Bare Nuea, Bacho, Narathiwat. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Chuap, Cho-Ai Rong, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 2 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"A search took place in Bang Po, Mueang , Narathiwat, , Narathiwat. The incident is thought to be related to counter-insurgency activities. At least one handgun was used. There were 0 injuries and 0 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
"A clash took place in Rueso Ok, Rueso, Narathiwat. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 0 injuries and 0 fatalities.",Other
"A clash took place in Suwari, Rueso, Narathiwat. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 0 injuries and 0 fatalities.",Other
"A shooting took place in Phraiwan, Tak Bai, Narathiwat. The incident is thought to be related to insurgent activities. At least one firearm of an unknown type was used. There were 1 injuries and 2 fatalities.",Violence against civilians
"A bombing took place in Tapoyo, Yi Ngo, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Yi-ngo, Yi Ngo, Narathiwat. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Dusongyo, Chanae, Narathiwat. The incident is thought to be related to insurgent activities. It is unknown what type of weapons were used. There were 0 injuries and 0 fatalities.",Other
"A bombing took place in Bannang Sata, Bannang Sata, Yala. The incident is thought to be related to insurgent activities. At least one improvised explosive device (IED) was used. There were 3 injuries and 0 fatalities.",Other
"On 14 February 2014, four people were injured when a bomb went off at a People's Democratic Reform Committee (PDRC) anti-government rally site in Klaeng district (Klaeng, Rayong). No other details were reported.",Other
The Criminal Court in Bangkok was attacked by gunmen but no one was injured. The attackers had been riding motorcycles when they opened fire on the building.,Violence against civilians
"A shooting took place in Manang Damlam, Sai Buri, Pattani. The incident is thought to be related to insurgent activities. At least one handgun was used. There were 0 injuries and 1 fatalities. State forces assumed to be military. State forces assumed to be military.",Other
