notes,event_type
"On November 29, 2018, in Lambaro town (Aceh Besar, Aceh), about 113 prisoners escaped from prison after engaging in a riot caused by stronger regulations imposed by the prison board. Prison rioters damaged the prison with barbells from the gym facilities after they threw water at the guards. There were no injuries reported.",Riots
"On November 28, 2018, in Setiabudi subdistrict in Kuningan district (South Jakarta, Jakarta), several hundred Muslim protesters for the third day staged a demonstration outside the Australian embassy demanding Canberra drop any plans to move its Israel diplomatic mission to Jerusalem and calling on other Islamic groups to occupy the embassy.",Protests
"On November 27, 2018, in Setiabudi subdistrict in Kuningan district (South Jakarta, Jakarta), several hundred Muslim protesters for the second day staged a demonstration outside the Australian embassy demanding Canberra drop any plans to move its Israel diplomatic mission to Jerusalem and calling on other Islamic groups to occupy the embassy.",Protests
"On November 26, 2018, in Setiabudi subdistrict in Kuningan district (South Jakarta, Jakarta), several hundred Muslim protesters staged a demonstration outside the Australian embassy demanding Canberra drop any plans to move its Israel diplomatic mission to Jerusalem and calling on other Islamic groups to occupy the embassy.",Protests
"On November 24, 2018, in Karang Indah district in Merauke town (Merauke, Papua), PMKRI and other activists vandalized property and clashed with the Merauke police operations division head and other officers who were looking for a suspicious person that had been reported by the neighborhood unit (RT) head. Five police officers were injured during the incident and one resident holding a machete was shot by police and another sustained head injuries. Twenty-seven people were arrested.",Riots
"On November 23, 2018, in Malang town (Malang, East Java), hundreds of app-based ojek (motorcycle taxi) drivers staged a protest condemning presidential candidate Prabowo Subianto for his remarks on their profession, which he called a cruel reality that young Indonesians are facing.",Protests
"On November 21, in Tanah Abang subdistrict (Central Jakarta, Jakarta), hundreds of young people associated with the Gue Anak Jakarta (youth group) community staged a protest in front of the Jakarta Regional Legislative Council (DPRD) building and demanded reasons why the BMW Stadium construction project was denied.",Protests
"On November 21, in Palembang city (Palembang, South Sumatra), truck and bus drivers staged a protest in front of the South Sumatra governor's office demanding the immediate revocation of a gubernatorial decree that prohibits coal-carrying vehicles from using public roads.",Protests
"On November 19, in Medan city (Medan, North Sumatra), dozens of refugees from Afghanistan staged a demonstration in front of the United Nations High Commissioner for Refugees (UNHCR) office demanding to be sent to their destination countries, which include Australia, New Zealand, the United States and Canada.",Protests
"On November 19, 2018, in Bekasi town (Bekasi, West Java), dozens of unidentified men armed with metal rods attacked two waria (transgender people), forcing one of the waria to strip and assaulting one of them with a 50-centimeter long metal rod and cutting off her hair.",Violence against civilians
"Property destruction: On 19 November 2018, the KNPB head office in Jayapura city was vandalized. This was allegedly committed by Indonesian security forces.",Other
"On 19 November 2018, 150 officers backed up by military members dispersed a peaceful assembly organized by the KNPB and attended by ULMWP activists at the Pegunungan Bintang Student Dormitory in Jayapura city, Papua province, where the KNPB celebrated its 10th Anniversary. The police arrested 107 KNPB activists and temporarily detained them. [size=107]",Protests
"On November 18, in Palembang city (Palembang, South Sumatra), people staged a demonstration in support of Baiq Nuril Makmun, a school teacher from West Nusa Tenggara, who is facing a six-month jail sentence for defaming her alleged harasser.",Protests
"On November 18, in Denpasar city (Denpasar, Bali), people staged a demonstration in support of Baiq Nuril Makmun, a school teacher from West Nusa Tenggara, who is facing a six-month jail sentence for defaming her alleged harasser.",Protests
"On November 16, in Kebayoran Baru subdistrict (South Jakarta, Jakarta), hundreds of Grab Bike's drivers staged a protest in front of Go-Jek's registration office in order to get the incentive or bonus worth IDR 15,000 (about US$1).",Protests
"On November 13, 2018, in Gambir district (Central Jakarta, Jakarta), students staged a demonstration in front of the State Palace to commemorate the Semanggi Tragedy and demand that the government bring to justice those who were responsible.",Protests
"On November 9, 2018, in Jakarta (North Jakarta, Jakarta), an Islamic militant armed with a machete attempted attack on a police station and was shot in the hand by police.",Other
"On November 8, 2018, in Gambir subdistrict (Central Jakarta, Jakarta), human rights activists staged a protest in front of the Presidential Palace to demand that the government investigate past human rights abuses.",Protests
"On November 4, in 2018, in Boyolali city (Boyolali, Central Java), thousands of people, including Indonesian Democratic Party of Struggle leaders, staged a protest in response to presidential candidate Prabowo Subianto's off-colored remark about Boyolali faces.",Protests
"Assumed on November 3, 2018, in Lanny Jaya regency (Papua), the West Papua Liberation Army killed a civilian for unknown reasons.",Violence against civilians
"On November 3, 2018, in Lanny Papua regency (Papua), West Papua Liberation Army militants and TNI military forces engaged in a gunfight while the TNI was evacuating the body of a civilian who had been killed earlier. Two Liberation Army militants were killed in the gunfight.",Other
"On November 2, 2018, in Jakarta (Jakarta), several thousand conservative Muslims staged a protest condemning members of a mainstream Muslim organization (Nahdlatul Ulama) for its burning of the banned Hizbut Tahrir flag in October.",Protests
"On 02-November-2018, in Garut, West Java, a protest was held by conservative Muslims against the burning of an Islamic flag last month by Nahdlatul Ulama, a moderate Muslim organization.",Protests
"On 2 November 2018, police conducted an anti-LGBT raid on Labuhan Jukung beach in Kampung Jawa, Pesisir Tengah, West Lampung, Lampung province. They arrested three transgender women and brought them to the police office where they were given ""Islamic guidance"" and then hosed down using water from a fire truck.",Violence against civilians
"On October 26, 2018, in Jakarta, 1,000 Indonesian Muslims staged a protest against the burning of a flag bearing an Islamic tenet by members of the country's biggest Muslim organization. GP 3 because an exact location in Jakarta was not specified.",Protests
"On 21 October 2018, a Papuan theology student passed four military members in civil clothing at a junction in Waroki village in Nabire regency, Papua province, and one of them suddenly drew his gun and fired at him. The bullet hit him in the chest and he died on the spot.",Violence against civilians
"On 21 October 2018, after a Papuan student was killed suddenly in the street by a military officer in Waroki village in Nabire regency, Papua province, a group of villagers found one of the four military members that was there during the student's death, and subsequently killed him in a mob attack, cutting his throat.",Other
"On October 19, 2018, in Karet district (South Jakarta, Jakarta), Jakarta journalists staged a protest in front of the Saudi embassy over the disappearance of US based journalist Jamal Khashoggi after entering the country consulate in Istanbul.",Protests
"On October 18, 2018, in Tanjungbalai district (Tanjung Balai, North Sumatra), Detachment 88 anti-terrorism forces exchanged gunfire with Jemaah Ansharut Daulah (JAD) militants, killing two JAD members.",Other
"On October 13, 2018, at Baru Beach in Srandakan district (Bantul, Yogyakarta), members the Islamic Jihadi Front (FJI) clashed with a group of fishermen who were holding a traditional Javanese ceremony, stating that the ceremony was blasphemous and antithetical to Islamic values.",Riots
"On 13 October 2018, a peaceful demonstration was held at a Papuan student dormitory yard in Makassar city, South Sulawesi province, related to the human rights situation in West Papua. A dozen plain cloth officers entered and said the students didn't have authorisation for the event and removed banners and posters. After the event the police arrested and ill-treated three students and an activist that had participated in the demonstration. They were detained for several hours, and allegedly a police officer pointed his gun at a student between his chin and neck, and forced him to surrender his cell phone and bag. [size=no report]",Protests
"On October 10, 2018, in Gambir subdistrict (Central Jakarta, Jakarta), Islamic Defenders Front (FPI) and Alumni 212 staged a protest over the investigation of an opposition activist who claimed that bruising on her face was caused by a politically motivated assault but later admitted that it was due to cosmetic surgery.",Protests
"On October 8, 2018, in Gambir subdistrict (Central Jakarta Jakarta), activists staged a demonstration outside the embassy of the United States, protesting the International Monetary Fund and World Bank as their annual meetings began in Bali.",Protests
"Assumed on October 3, 2018, in Tingginambut district (Puncak Jaya, Papua), TNI forces mounted a land and air attack against West Papua Liberation Army forces. Two Liberation Army members and five civilians were killed in the attack. The Liberation Army leader and the rest of his forces fled into the forest.",Other
"Weapons seizure: Assumed on October 3, 2018, in Tingginambut district (Puncak Jaya, Papua), TNI forces recovered weapons from a Liberation Army weapons cache after the TNI forces mounted a land and air attack against West Papua Liberation Army forces.",Other
"On October 2, 2018, in Oksibil district (Pegunungan Bintang, Papua), local residents rioted and clashed with police after Bintang Mountains Regional Council (DPRD) passed a vote of no confidence against the regent to represent the public's displeasure at his leadership over the past two years. Seven people were injured, including two police officers who were shot with arrows. Ten buildings were burnt to the ground.",Riots
"On 27 September 2018, in Jayapura city, Papua province, student activists staged protests to support efforts by Vanuatu and other Pacific countries to take the West Papua issue before the 72rd Session of the UN General Assembly. Police intervened and arrested 11 student activists. [size=no report]",Protests
"On September 26, 2018, in Tanjung city (North Lombok, West Nusa Tenggara), hundreds of earthquake survivors staged a protest in front of the North Lombok's regent's office demanding that the office make good on the central government's promise of house construction funds.",Protests
"On September 25, 2018, in Kuningan sub-district (South Jakarta, Jakarta), taxi drivers staged a demonstration in from of the Grab app office, condemning the company for exploited them and not being transparent when penalizing them.",Protests
"On September 25, 2018, in Bitung city (Minahasa, North Sulawesi), Greenpeace activists staged a protest at an Indonesian palm oil refinery to protest the wide-spread use of palm oil and its environmental effects.",Protests
"On September 24, 2018, in Pekanbaru town (Pekanbaru, Riau), students staged a demonstration and assaulted female police officers during a rally held on National Farmers Day at the Riau Council. Seven activists were injured.",Riots
"On September 24, 2018, in Kebayoran Lama subdistrict (South Jakarta, Jakarta), activists representing security guard employees stage a protest in front of the office of global security demanding better industrial relations.",Protests
"On September 24, 2018, in Gambir sub-district (Central Jakarta, Jakarta), farmers staged a demonstration in front of the State Palace on Indonesian National Farmers Day, protesting the construction of a cement factory near their homes in a mountainous region of Central Java.",Protests
"On September 24, 2018, in Abepura district (Jayapura, Papua), student activists supported by the United Liberation Movement for West Papua (ULMWP) staged protests to support efforts by Vanuatu and other Pacific countries to take the West Papua issue before the 72rd Session of the UN General Assembly. Police intervened with force, assaulting protestors and arresting 67 activists.",Protests
"On September 20, 2018, in Medan city (Medan, North Sumatra), activists from a pro-Jokowi group and an anti-Jokowi student group clashed during each group's respective demonstration. Police attempted to intervene and the activists clashed with them. 8 activists and 5 policemen were injured.",Riots
"On 15 September 2018, the police raided the offices of the local KNPB branch in Timika town, Mimika Regency, Papua province. During the raid they arrested 9 members and shot 2, alleging that they had threatened violence against the police with sharp weapons. One man suffered three bullet wounds to his thighs, two to his shinbones, and one to the sole of his foot. The other was shot in his right leg. The other 7 members were shortly released after their arrests.",Violence against civilians
"On September 14, 2018, in Menteng subdistrict (Central Jakarta, Jakarta), activists from the National Guard for the People (GNR) group staged a protest outside the Democratic Party office, demanding that the former youth and sports minister return thousands of household goods that he bought using the state budget to equip his former official residence.",Protests
"On September 14, 2018, in Malang city (Malang, East Java), activists staged a demonstration in support of introduced ministerial regulation that expanded the list of protected birds in the country.",Protests
"On 13 September 2018, joint security forced their way into a Papuan man's house in Wogikel village in Ilyawab district, Merauke regency, Papua province, and arbitrarily arrested and tortured him. They used a sharp item to cut off parts of his ears, injure his forehead, hands and left foot. He later died in the hospital and police claimed that he'd attacked officers with a knife and accidentally fell on broken glass.",Violence against civilians
"On 13 September 2018, the police attempted to arrest a Papuan suspected of cutting off a man's hand with a machete, in Merauke district, Papua province. The man escaped and police allege during the chase he was caught after stepping on broken glass, which they also allege later led to his death. This account was argued against by a local human rights organization reporting that the police beat the man repeatedly and severely. He was confirmed dead on 14 September, and had several wounds on his head, hand, thigh and back that are in line with torture by security forces.",Violence against civilians
"On September 12, 2018, in Kebayoran Baru subdistrict (South Jakarta, Jakarta), online taxi drivers staged a protest against the country's current policy governing ride-sharing businesses.",Protests
"On September 10, 2018, in Menteng subdistrict (Central Jakarta, Jakarta), online taxi drivers staged a protest against the country's current policy governing ride-sharing businesses.",Protests
"On 10 September 2018, six air force members allegedly tortured a Papuan man at the dormitory facility of the air force base in Sentani city, Jayapura regency, Papua province. The torture was allegedly an act of revenge as the man had slapped one of the air force member's brothers.",Violence against civilians
"On 8 September 2018, supporters of ULMWP staged a demonstration in Bintuni town, Teluk Bintuni regency, West Papua province. The police arrested 35 demonstrators and detained them as some of them were waving a morning star flag. [size=no report]",Protests
"On September 7, 2018, in Menteng sub-district (Central Jakarta, Jakarta), journalists staged a demonstration outside the Myanmar embassy against the conviction of two Reuters journalists sentenced to seven years in prison each for violating a state secrets law while reporting on the killing of Rohingya men by the Myanmar military in Inn Din in Rakhine state.",Protests
"On September 4, 2018, in Jayapura city (Jayapura, Papua), United Liberation Movement for West Papua activists and others, including students, staged a demonstration for self-determination of Papua. Police arrested 79 activists.",Protests
"On 4 September, 2018, in Sentani city (Jayapura, Papua), United Liberation Movement for West Papua activists and others, including students, staged a demonstration for self-determination of Papua and in support of Vanuata and other Pacific island countries. [size=no report]",Protests
"On September 3, 2018, in Tegal town (Tegal, Central Java), Densus 88 shot and killed two JAD militants during a raid. The two militants were suspected in the shooting of two traffic officers in West Java on August 24, 2018.",Other
"On 3 September, 2018, in Jayapura city (Jayapura, Papua), United Liberation Movement for West Papua activists and others, including students, staged a demonstration for self-determination of Papua and in support of Vanuata and other Pacific island countries. Police arrested 14 activists. [size=no report]",Protests
"On 28 August 2018, hundreds of Freeport labourers gathered at HR Rasuna Said Street in central Jakarta city, in front of the PT FI head office. Security forces tried to dissolve the demonstration but they were able to demonstrate over night, sleeping in front of the building. [size=hundreds]",Protests
"On August 27, 2018, in Waena village, in Heram district (Jayapura, Papua), Papuan students got into an argument and threw stones at the police after the police refused to handover a suspected motorcycle thief to the students. Police detained and severly beat one student and shot another student who was running away in the shoulder. Two students were injured and 14 were arrested.",Riots
"On 26 August 2017, police officers shot a Papuan man near the Wosi Market in Manokwari city, West Papua province, causing him to sustain a bullet injury on the right side and upper back. According to police, the man allegedly stole a mobile phone from a student and was trying to avoid arrest, to justify the use of fire arms. Statements from eyewitness contradict this account.",Violence against civilians
"On 26 August 2018, the hotel at which a famous musician turned political opposition activist in Surabaya city, East Java province, was surrounded by pro-President Jokowi supporters, in direct opposition to the activist's efforts to not get President Widodo re-elected. [size=no report]",Protests
"On 25 August 2018, hundreds of protesters were at the Pekanbaru Airport in Penkanbaru city, Riau province, to prevent a prominent supporter of the anti-President Widodo movement from leaving the airport. Local police only acted to prevent the demonstrators from attacking the supporter but did not allow her to leave the airport to join a political declaration not to elect President Widodo in 2019. They instead made her return to Jakarta. [size=hundreds]",Protests
"On August 24, 2018, near Cirebon town (Cirebon, West Java), three Jamaah Ansharut Daulah (JAD) militants shot two policemen who were on patrol, killing one policeman and seriously injuring the other.",Other
"On August 20, 2018, in East Kuningan district (South Jakarta, Jakarta), environmental activists staged a demonstration against the expansion of the Batang Toru power plant.",Protests
"Assumed on August 19, 2018, in Tigginambut village (Puncak Jaya, Papua), armed Papua separatists attacked and killed two TNI Army officers during a mission to distribute food to Papuan children.",Other
"On August 15, in Surabaya city (Surabaya, East Java), Papuan students staged a demonstration against the 1962 New York Agreement and in demand of sovereignty for Papua. The police, along with the Pancasila Youth, Patriot Garuda and Benteng NKRI: Bastions of the Unitary State of the Republic of Indonesia, clashed with the student at the Kamasan Papuan Dormitory. Police arrested 49 demonstrators.",Riots
"On 15-August-2018, in several cities in Java and Bali, the AMP organized coordinated actions to demonstrate against the 1962 New York Agreement.",Protests
"On 15-August-2018, in several cities in Java and Bali, the AMP organized coordinated actions to demonstrate against the 1962 New York Agreement.",Protests
"On August 15, in Ternate city (Ternate, North Maluku), Indonesian People's Front for West Papua (FRI-WP) members staged a demonstration in refusal to adhere to the 1962 New York Agreement and in demand of sovereignty for Papua. Police used force to intervene and break-up the protest.",Protests
"On August 6, in Wagemuga village (Enarotali, Paniai, Papua), West Papua National Liberation Army members attacked TNI military and a group of surveyors, seizing weapons and injuring five TNI members.",Other
"On August 2, in Gambir area of Jakarta city (Central Jakarta, Jakarta), student activists staged a protest march demanding the West Papua region be freed.",Protests
"On August 2, in the Gambir area of Jakarta city (Central Jakarta, Jakarta), human rights activists staged a demonstration demanding the government resume investigations of past human rights abuses.",Protests
"On 30 July 2018, three police officers arbitrarily stopped two friends and beat them with their rifle butts in Sentani town, Jayapura regency, Papua province, as allegedly suspected perpetrators in a theft case.",Violence against civilians
"On July 23, in the Gambir area of Jakarta (Central Jakarta, Jakarta), members of two labor organizations staged a protest demanding that Jakarta Governor remain in his current position and not run in the 2019 presidential election.",Protests
"On July 22, in Denpasar city (Denpasar, Bali), residents staged a demonstration outside the governor's office opposing the reclamation project in Benoa Bay.",Protests
"On July 16, in Kebun Sayur area in Ciracas district (East Jakarta, Jakarta), residents staged a protest demanding the move of a transit project.",Protests
"On July 15, in Indramayu city (Indramayu, West Java), two JAD militants threw an explosive at a police station. There were no injuries.",Other
"On July 14, in Yogyakarta city (Yogyakarta, Yogyakarta), Detachment 88 security forces shot and killed three JAD militants after the militants attacked them with sharp weapons. Two Detachment 88 members were injured.",Other
"On July 14, in Ngaglik district (Sleman, Yogyakarta, Yogyakarta), Densus 88 units killed three JAD militants during a security operation.",Other
"On 13 July 2018, fifteen people were punished with public caning outside the Baiturrahim Mosque in Banda Aceh city, Aceh province for violating Sharia law . Two men received 87 lashes each for gay sex, 9 received 26 lashes for adultery and 4 people were caned for drunkenness, including a woman who received 27 lashes. The event was attended by hundreds of spectators.",Violence against civilians
"Between July 3 and July 12, 2018, in the province of Jakarta, police killed 11 people as part of a public safety operation to prepare for hosting the Asian Games. In addition to those killed, 41 people were shot in the legs, while more than 5,000 people were arrested.",Violence against civilians
"Between July 3 and July 12, 2018, in the province of South Sumatra, police killed 3 people as part of a public safety operation to prepare for hosting the Asian Games.",Violence against civilians
"On 11 July 2018, near Alguru village near Kenyam (Nduga, Papua), Brimob forces and West Papua National Liberation Army exchanged gunfire after Papuan forces shot at a police helicopter. During this event and attacks that took place on 3 and 4 July 2018, at least two Brimob officers were wounded and four Brimob officers were allegedly killed during the clashes. The fatalities are split between these events.",Other
"On 6 July 2018, more than 100 security force officers came with automatic rifles and accompanied by members of nationalist mass movements (ormas) to the Papuan student dormitory in Surabaya city, East Java province, to try to disperse the peaceful assembly organized by the students to commemorate the 20th anniversary of the 'Biak Massacre'. A couple of the participants went to talk with the officers and a heated argument followed. The officers forcefully tried to drag a female participant away from the students, indecently touched another female's breasts and pulled her shirt until one of the buttons was ripped off in an attempt to drag them to a police vehicle.",Violence against civilians
"On July 5, in Pogar town of Bangil district (Pasuruan, East Java), three bombs set by unknown persons exploded within proximity of one another, one of them injuring a child.",Other
"On 4 July 2018, near Kenyam river (Nduga, Papua), Brimob forces and West Papua National Liberation Army exchanged gunfire. During this event and attacks that took place on 3 and 11 July 2018, at least two Brimob officers were wounded and four Brimob officers were allegedly killed during the clashes. The fatalities are split between these events.",Other
"On 3 July 2018, near Kenyam river (Nduga, Papua), Brimob forces and the West Papua National Liberation Army exchanged gunfire. During this event and attacks that took place on 4 and 11 July 2018, at least two Brimob officers were wounded and four Brimob officers were allegedly killed during the clashes. The fatalities are split between these events.",Other
"On 1 July 2018, Papuan students had organized a political discussion in commemoration of the 47th anniversary of the West Papuan State proclamation on 1 July 1971 in Malang city, East Java province. They were interrupted by security personnel who entered the premises and forced the participants to leave. They seized their bags, mobile phones, laptops and other electronic items inside the house. Members of mass organisations (ormas) meanwhile vandalized the house. They subsequently collectively attacked and insulted the students, making racist comments. Police officers failed to protect the students from the mob attack. 7 Papuan students sustained injuries.",Riots
"On June 27, in Torere district (Puncak Jaya, Papua), Free Papua Movement (OPM) separatists shot at two boats carrying voters and officials on a river, killing three people, including two police officers.",Violence against civilians
"On June 25, in Kenyam (Nduga, Papua), Free Papua Movement (OPM) separatists shot and killed three street vendors directly after shooting at a Twin Otter Trigana aircraft chartered by the police Mobile Brigade (Brimob) when landing at Keneyam Airport. Several Brimob members and other passengers were shot and injured.",Violence against civilians
"On June 23, in Depok (Depok, West Java), police killed two JAD militants after they tried to attack the officers with a knife and a gun while they were being arrested.",Other
"On June 22, in Pamanukan (Subang, West Java), National Police's Densus 88 counterterrorism squad shot dead a suspected JAD militant who was armed wearing a bomb and resisted arrest under the Jl. E. Tirtapraja overpass, trying to stab police officers with a knife.",Other
"On June 19, near Pelepat (Bungo, Jambi), two armed factions of the Suku Anak Dalam ethnic group clashed after a member of the Kitap faction, identified as Ilham, insulted another faction identified as the Pasir Putih group who reported the incident to Pelapat Police. Police fired several bullets into the group, injuring several members of the groups.",Other
"Assumed on June 18, in Rangkiling village (Mandiangin, Sorolangun, Jambi), police forces and villagers clashed after police tried to arrest a villager. A villager was shot and wounded by police and the villagers began to riot.",Riots
"On 13 June 2018, a member of Brimob and a military officer reportedly tortured a local fisherman and fired at him multiple times near the Puri Bridge in Sorong city, West Papua province. The attack followed a dispute between five fishermen and the security force officers who had prevented the group from leaving port with their canoes.",Violence against civilians
"On 12 June 2018, a Papuan man who accompanied a pastor to the district police station in Kaimana city, West Papua province was beaten by several police officers as he was lodging a police report. He was then taken into custody.",Violence against civilians
"On 9 and 10 June 2018, the police unlawfully arrested five indigenous Papuans at multiple locations in Timika city, Mimika regency, Papua province, and ill-treated three of them during detention.",Violence against civilians
"On June 9, in Kebayoran Baru (South Jakarta, Jakarta), unidentified armed actors attacked students on the street, one student was killed.",Violence against civilians
"On June 9, in Cijantung (East Jakarta, Jakarta), TNI military personnel attacked two police officers in retaliation for BRIMOB attacking and kill a TNI officer on June 7. The two police officers were injured.",Other
"On 9 and 10 June 2018, the police unlawfully arrested five indigenous Papuans at multiple locations in Timika city, Mimika regency, Papua province, and ill-treated three of them during detention.",Violence against civilians
"On June 8, in Gambir (Central Jakarta, Jakarta), hundreds of people took to the streets in protest outside the US embassy to denounce Israel and the United States following recent violence in the Gaza Strip.",Protests
"On June 7, in Cimanggis (Depok, West Java), Mobile Brigade (Brimob) attacked Indonesian Military (TNI) at a billiard center in Cimanggis on June 7. A TNI officer was killed in the incident.",Other
"On 6 June 2018, a government official beat a reverend during a heated dispute over his testimonial report in relation to a boat accident in Kaimana district, West Papua province.",Violence against civilians
"On 6 June 2018, mob violence erupted between villagers from Wouma and Welesi with both groups using stones and traditional weapons such as bow and arrows. The Brimob and military officer tried to disperse the crowd with tear gas and fire arms. A Brimob and a military officer were wounded during the attempt. One villager died from severe bullet injuries. [size=no report]",Riots
"On June 5, in Pasar Minggu (South Jakarta, Jakarta), former workers of cookie producer PT Arnott's Indonesia (AI) staged a protest in front of the company's main office at Plaza Oleos, demanding that they be re-hired as they claim they were unfairly dismissed.",Protests
"On June 5, near Mimika (Mimika, Papua), two groups of Free Papua Movement (OPM) separatists fired at a convoy of nine buses containing employees from Freeport Indonesia. The employees were not injured, but the bus was damaged in the attack.",Violence against civilians
"On May 30, in Bogor (Bogor, West Java), around 100 supporters of the Indonesian Democratic Party of Struggle (PDI-P) staged a violent demonstration over a published story on party chief Megawati Soekarnoputri, saying that the news item had discredited Megawati. Some of the demonstrators physically attacked employees.",Riots
"On 21 May 2018, a group of men, including a military member, threw stones at a Papuan man's house in Anotaurai village on Yapen Island, coded at Serui town. The officer approached the victim who was sitting further away, and accused him of the mob attack. The officer proceeded to stab him with his bayonet knife, and despite being brought to a hospital, he died of his injuries.",Violence against civilians
"On May 20, 2018, in Gereneng village in East Sakra district (East Lombok, West Nusa Tenggara), a village mob, for the second day, destroyed houses, motorcycles, and stores and household equipment belonging to the members of the religious Muslim minority known as the Ahmadiyya community because their teachings were deemed as unorthodox.",Riots
"On 19 May 2018, the Ahmadiyya religious minority was targeted in attacks against their community in Gereneng village, East Sakra, East Lombok, West Nusa Tenggara, by those from their same and neighbouring villages. Dozens of people destroyed altogether 8 houses, 4 motorcycles, a local store and household equipment. They took people's jewelry and money, with the primary victims of the attacks being women and children. Later that day 30 more people arrived to destroy more property with bricks and stones but were stopped by police and military personnel. 23 members of the Ahmadiyya community were then evacuated by police to another town. [size=dozens]",Riots
"On May 16, in Pekanbaru (Pekanbaru, Riau), Indonesian police shot dead four men after they used samurai swords to attack officers at Riau police headquarters.",Other
"Weapons seizure: On May 15, in Surabaya (Surabaya, East Java), Densus 88 counterterrorism squad seized 54 pipe bombs at the home of Tri Murtiono (JAD), the man who had led his family in a suicide bombing of the Surabaya Police headquarters on May 14.",Other
"On May 15, in Surabaya (Surabaya, East Java), Densus 88 members exchanged fire with a terror suspect who was killed during crackdown operations following after the series of suicide bomb attacks.",Other
"Arrests: On May 15, in Malang (Malang, East Java), Densus 88 police captured the leader of pro-Islamic State (IS) group Jamaah Ansharud Daulah's (JAD) East Java chapter in Malang, Abu Umar, following a series of bombings earlier this week in the provincial capital Surabaya.",Other
"In May 2018, two men were lashed 83 times publicly for homosexuality by Indonesia's Sharia police after being convicted by Banda Aceh, Aceh province, Shari'a Court.",Violence against civilians
"On May 14, in Surabaya (Surabaya, East Java), two suicide bombers associated with Jemaah Ansharut Daulah (JAD) detonated devices at the checkpoint of the Surabaya police headquarters. Ten people (four policemen and six civilians) were wounded. Four suicide bombers were killed.",Other
"On May 13, in Surabaya city (Surabaya, East Java), suicide bombers associated with Jemaah Ansharut Daulah (JAD) attacked 3 churches in the city leaving 18 people dead (including perpetrators). The first detonation took place at the Santa Maria Roman Catholic Church, killing 5 people and 2 perpetrators. In the second attack a woman and her children detonated three bombs at Christian Church of Diponegoro, killing the bomber and her 2 children (no civilians were injured). The third attack was a car bomb and two other bombs at Pantekosta Church, killing 7 civilians and 1 perpetrator .",Other
"On May 13, in Sidoarjo (Sidoarjo, East Java), a militant associated with Jemaah Ansharut Daulah (JAD) detonated a bomb at the Wonocolo apartment complex when the police raided his apartment looking for bombing suspects associated with the Surabaya church attacks. Three people died.",Other
"On May 11, in Gambir (Central Jakarta, Jakarta), hundreds of people, including Islam Defenders Front (FPI), gathered at the National Monument (Monas) park to protest against the planned relocation of the United States Embassy in Israel from Tel Aviv to Jerusalem.",Protests
"On May 10, in Kelapa Dua (Depok, West Java), rioting prisoners at Command Headquarters (Mako) took five police officers hostage and took their weapons. The siege lasted 36 hours (from May 8 to May 10). Five officers and one prisoner was killed. Police's anti-terrorism unit Special Detachment 88 (Densus 88) was called in.",Other
"On May 10, in Bekasi district (Bekasi, West Java), police's anti-terrorism unit Special Detachment 88 (Densus 88) ambushed four JAD militants who were heading to the Police Mobile Brigade headquarters where a prison riot was taking place. Densus 88 killed two of the four JAD militants.",Other
"On May 9, in Rokan Hulu regency (Riau), local residents staged a protest against the Rokan Kiri Dam construction project, which they say will flood four villages in the regency.",Protests
"On May 9, in Bolano village of Moutong district (Parigi Mutong, Central Sulawesi), residents staged a rally to reject the inclusion of their agricultural land into the Tanjung Santigi Wildlife Reserve.",Protests
"On May 9, in Kelapa Dua (Depok, West Java), rioting prisoners at Command Headquarters (Mako) took five police officers hostage and took their weapons. The siege lasted 36 hours (from May 8 to May 10). Five officers and one prisoner was killed. Police's anti-terrorism unit Special Detachment 88 (Densus 88) was called in.",Other
"On May 9, in Kebayoran (South Jakarta, Jakarta), there was a clash between Jakarta Military Command (Kodam) personnel who were forcefully trying to evict residents of the Tanah Kusir housing complex. Residents threw rocks at KODAM and burnt tires to try to block them.",Riots
"On May 8, in Kelapa Dua (Depok, West Java), rioting prisoners at Command Headquarters (Mako) took five police officers hostage and took their weapons. The siege lasted 36 hours (from May 8 to May 10). Five officers and one prisoner was killed. Police's anti-terrorism unit Special Detachment 88 (Densus 88) was called in.",Other
"On 5 May 2018, during an organized political debate between politicians running for Deiyai Regency in Nabire city, Papua province, a man tried to access a front yard and was collectively beaten up by police officers. A Papuan journalist was then subsequently attacked and beaten to attempt to prevent him from covering the ill-treatment.",Violence against civilians
"On May 4, in Pasir Putih village area (East Aceh, Aceh) hundreds of residents gathered to express their objection to the closure of illegal oil wells in the area. Some of the protesters were temporarily detained.",Protests
"Weapons Seizure: On May 4, in Ciawi (Bogor, West Java), Special Detachment 88 Anti-terror Squad (Densus 88) arrested three suspected militants and seized bomb materials that were planned to be used to attack Mako Brimob in Kedunghalang.",Other
"On May 3, in Bandung city (West Java), protesters at Padjadjaran University demanded that the rector step down from his position.",Protests
"On May 1, in Yogyakarta (Yogyakarta), there was an anarchist rally staged by local people who rejected the construction of New Yogyakarta International Airport, where the participants set fire to the police post and threw Molotov cocktails.",Riots
"On April 30, in Jakarta (Jakarta), there was a clash between supporters of President Joko Widodo and an anti-Jokowi groups. No injuries were reported.",Riots
"On April 25, in Gambir (Central Jakarta, Jakarta), dozens of Pari Island residents staged a rally in front of City Hall, demanding legal certainty over land that was claimed by private company PT Bumi Pari Asri in 2014.",Protests
